Guard_____,f0000,f3000,f3d00,f4300,f4600,f8400
Soldier___,f0020,f3004,f3d04,f4302,f4602,f8402
Templar___,f0040,f3008,f3d08,f4304,f4604,f8404
Ninja_____,f0060,f300c,f3d0c,f4306,f4606,f8406
Samurai___,f0080,f3010,f3d10,f4308,f4608,f8408
Orog______,f00a0,f3014,f3d14,f430a,f460a,f840a
Mag Roader,f00c0,f3018,f3d18,f430c,f460c,f840c
Retainer__,f00e0,f301c,f3d1c,f430e,f460e,f840e
Hazer_____,f0100,f3020,f3d20,f4310,f4610,f8410
Dahling___,f0120,f3024,f3d24,f4312,f4612,f8412
Rain Man__,f0140,f3028,f3d28,f4314,f4614,f8414
Brawler___,f0160,f302c,f3d2c,f4316,f4616,f8416
Apokryphos,f0180,f3030,f3d30,f4318,f4618,f8418
Dark Force,f01a0,f3034,f3d34,f431a,f461a,f841a
Whisper___,f01c0,f3038,f3d38,f431c,f461c,f841c
Over-Mind_,f01e0,f303c,f3d3c,f431e,f461e,f841e
Osteosaur_,f0200,f3040,f3d40,f4320,f4620,f8420
Commander_,f0220,f3044,f3d44,f4322,f4622,f8422
Rhodox____,f0240,f3048,f3d48,f4324,f4624,f8424
Were-Rat__,f0260,f304c,f3d4c,f4326,f4626,f8426
Ursus_____,f0280,f3050,f3d50,f4328,f4628,f8428
Rhinotaur_,f02a0,f3054,f3d54,f432a,f462a,f842a
Steroidite,f02c0,f3058,f3d58,f432c,f462c,f842c
Leafer____,f02e0,f305c,f3d5c,f432e,f462e,f842e
Stray Cat_,f0300,f3060,f3d60,f4330,f4630,f8430
Lobo______,f0320,f3064,f3d64,f4332,f4632,f8432
Doberman__,f0340,f3068,f3d68,f4334,f4634,f8434
Vomammoth_,f0360,f306c,f3d6c,f4336,f4636,f8436
Fidor_____,f0380,f3070,f3d70,f4338,f4638,f8438
Baskervor_,f03a0,f3074,f3d74,f433a,f463a,f843a
Suriander_,f03c0,f3078,f3d78,f433c,f463c,f843c
Chimera___,f03e0,f307c,f3d7c,f433e,f463e,f843e
Behemoth__,f0400,f3080,f3d80,f4340,f4640,f8440
Mesosaur__,f0420,f3084,f3d84,f4342,f4642,f8442
Pterodon__,f0440,f3088,f3d88,f4344,f4644,f8444
FossilFang,f0460,f308c,f3d8c,f4346,f4666,f8446
White Drgn,f0480,f3090,f3d90,f4348,f4669,f8448
Doom Drgn_,f04a0,f3094,f3d94,f434a,f466a,f844a
Brachosaur,f04c0,f3098,f3d98,f434c,f466c,f844c
Tyranosaur,f04e0,f309c,f3d9c,f434e,f466e,f844e
Dark Wind_,f0500,f30a0,f3da0,f4350,f4650,f8450
Beakor____,f0520,f30a4,f3da4,f4352,f4652,f8452
Vulture___,f0540,f30a8,f3da8,f4354,f4654,f8454
Harpy_____,f0560,f30ac,f3dac,f4356,f4656,f8456
HermitCrab,f0580,f30b0,f3db0,f4358,f4658,f8458
Trapper___,f05a0,f30b4,f3db4,f435a,f465a,f845a
Hornet____,f05c0,f30b8,f3db8,f435c,f465c,f845c
CrassHoppr,f05e0,f30bc,f3dbc,f435e,f465e,f845e
Delta Bug_,f0600,f30c0,f3dc0,f4360,f4660,f8460
Gilomantis,f0620,f30c4,f3dc4,f4362,f4662,f8462
Trilium___,f0640,f30c8,f3dc8,f4364,f4664,f8464
Nightshade,f0660,f30cc,f3dcc,f4366,f4666,f8466
TumbleWeed,f0680,f30d0,f3dd0,f4368,f4668,f8468
Bloompire_,f06a0,f30d4,f3dd4,f436a,f466a,f846a
Trilobiter,f06c0,f30d8,f3dd8,f436c,f466c,f846c
Siegfried_,f06e0,f30dc,f3ddc,f436e,f466e,f846e
Nautiloid_,f0700,f30e0,f3de0,f4370,f4670,f8470
Exocite___,f0720,f30e4,f3de4,f4372,f4672,f8472
Anguiform_,f0740,f30e8,f3de8,f4374,f4674,f8474
Reach Frog,f0760,f30ec,f3dec,f4376,f4676,f8476
Lizard____,f0780,f30f0,f3df0,f4378,f4678,f8478
ChickenLip,f07a0,f30f4,f3df4,f437a,f467a,f847a
Hoover____,f07c0,f30f8,f3df8,f437c,f467c,f847c
Rider_____,f07e0,f30fc,f3dfc,f437e,f467e,f847e
Chupon____,f0800,f3100,f3e00,f4380,f4680,f8480
Pipsqueak_,f0820,f3104,f3e04,f4382,f4682,f8482
M-TekArmor,f0840,f3108,f3e08,f4384,f4684,f8484
Sky Armor_,f0860,f310c,f3e0c,f4386,f4686,f8486
Telstar___,f0880,f3110,f3e10,f4388,f4688,f8488
Lethal Wpn,f08a0,f3114,f3e14,f438a,f468a,f848a
Vaporite__,f08c0,f3118,f3e18,f438c,f468c,f848c
Flan______,f08e0,f311c,f3e1c,f438e,f468e,f848e
Ing_______,f0900,f3120,f3e20,f4390,f4690,f8490
Humpty____,f0920,f3124,f3e24,f4392,f4692,f8492
Brainpan__,f0940,f3128,f3e28,f4394,f4694,f8494
Cruller___,f0960,f312c,f3e2c,f4396,f4696,f8496
Cactrot___,f0980,f3130,f3e30,f4398,f4698,f8498
Repo Man__,f09a0,f3134,f3e34,f439a,f469a,f849a
Harvester_,f09c0,f3138,f3e38,f439c,f469c,f849c
Bomb______,f09e0,f313c,f3e3c,f439e,f469e,f849e
Still Life,f0a00,f3140,f3e40,f43a0,f46a0,f84a0
Boxed Set_,f0a20,f3144,f3e44,f43a2,f46a2,f84a2
SlamDancer,f0a40,f3148,f3e48,f43a4,f46a4,f84a4
HadesGigas,f0a60,f314c,f3e4c,f43a6,f46a6,f84a6
Pug_______,f0a80,f3150,f3e50,f43a8,f46a8,f84a8
Magic Urn_,f0aa0,f3154,f3e54,f43aa,f46aa,f84aa
Mover_____,f0ac0,f3158,f3e58,f43ac,f46ac,f84ac
Figaliz___,f0ae0,f315c,f3e5c,f43ae,f46ae,f84ae
Buffalax__,f0b00,f3160,f3e60,f43b0,f46b0,f84b0
Aspik_____,f0b20,f3164,f3e64,f43b2,f46b2,f84b2
Ghost_____,f0b40,f3168,f3e68,f43b4,f46b4,f84b4
Crawler___,f0b60,f316c,f3e6c,f43b6,f46b6,f84b6
Sand Ray__,f0b80,f3170,f3e70,f43b8,f46b8,f84b8
Areneid___,f0ba0,f3174,f3e74,f43ba,f46ba,f84ba
Actaneon__,f0bc0,f3178,f3e78,f43bc,f46bc,f84bc
Sand Horse,f0be0,f317c,f3e7c,f43be,f46be,f84be
Dark Side_,f0c00,f3180,f3e80,f43c0,f46c0,f84c0
Mad Oscar_,f0c20,f3184,f3e84,f43c2,f46c2,f84c2
Crawly____,f0c40,f3188,f3e88,f4354,f46c4,f84c4
Bleary____,f0c60,f318c,f3e8c,f43c6,f46c6,f84c6
Marshal___,f0c80,f3190,f3e90,f43c8,f46c8,f84c8
Trooper___,f0ca0,f3194,f3e94,f43ca,f46ca,f84ca
General___,f0cc0,f3198,f3e98,f43cc,f46cc,f84cc
Covert____,f0ce0,f319c,f3e9c,f43ce,f46ce,f84ce
Ogor______,f0d00,f31a0,f3ea0,f43d0,f46d0,f84d0
Warlock___,f0d20,f31a4,f3ea4,f43d2,f46d2,f84d2
Madam_____,f0d40,f31a8,f3ea8,f43d4,f46d4,f84d4
Joker_____,f0d60,f31ac,f3eac,f43d6,f46d6,f84d6
Iron Fist_,f0d80,f31b0,f3eb0,f43d8,f46d8,f84d8
Goblin____,f0da0,f31b4,f3eb4,f43da,f46da,f84da
Apparite__,f0dc0,f31b8,f3eb8,f43dc,f46dc,f84dc
PowerDemon,f0de0,f31bc,f3ebc,f43de,f46de,f84de
Displayer_,f0e00,f31c0,f3ec0,f43e0,f46e0,f84e0
Vector Pup,f0e20,f31c4,f3ec4,f43e2,f46e2,f84e2
Peepers___,f0e40,f31c8,f3ec8,f43e4,f46e4,f84e4
Sewer Rat_,f0e60,f31cc,f3ecc,f43e6,f46e6,f84e6
Slatter___,f0e80,f31d0,f3ed0,f43e8,f46e8,f84e8
Rhinox____,f0ea0,f31d4,f3ed4,f43ea,f46ea,f84ea
Rhobite___,f0ec0,f31d8,f3ed8,f43ec,f46ec,f84ec
Wild Cat__,f0ee0,f31dc,f3edc,f43ee,f46ee,f84ee
