0,185000,Dirk
1,18501e,MithrilKnife
2,18503c,Guardian
3,18505a,Air Lancet
4,185078,ThiefKnife
5,185096,Assassin
6,1850b4,Man Eater
7,1850d2,SwordBreaker
8,1850f0,Graedus
9,18510e,ValiantKnife
a,18512c,MithrilBlade
b,18514a,RegalCutlass
c,185168,Rune Edge
d,185186,Flame Sabre
e,1851a4,Blizzard
f,1851c2,ThunderBlade
10,1851e0,Epee
11,1851fe,BreakBlade
12,18521c,Drainer
13,18523a,Enhancer
14,185258,Crystal
15,185276,Falchion
16,185294,Soul Sabre
17,1852b2,Ogre Nix
18,1852d0,Excalibur
19,1852ee,Scimitar
1a,18530c,Illumina
1b,18532a,Ragnarok
1c,185348,Atma Weapon
1d,185366,Mithril Pike
1e,185384,Trident
1f,1853a2,Stout Spear
20,1853c0,Partisan
21,1853de,Pearl Lance
22,1853fc,Gold Lance
23,18541a,Aura Lance
24,185438,Imp Halberd
25,185456,Imperial
26,185474,Kodachi
27,185492,Blossom
28,1854b0,Hardened
29,1854ce,Striker
2a,1854ec,Stunner
2b,18550a,Ashura
2c,185528,Kotetsu
2d,185546,Forged
2e,185564,Tempest
2f,185582,Murasame
30,1855a0,Aura
31,1855be,Strato
32,1855dc,Sky Render
33,1855fa,Heal Rod
34,185618,Mithril Rod
35,185636,Fire Rod
36,185654,Ice Rod
37,185672,Thunder Rod
38,185690,Poison Rod
39,1856ae,Pearl Rod
3a,1856cc,Gravity Rod
3b,1856ea,Punisher
3c,185708,Magus Rod
3d,185726,Chocobo Brsh
3e,185744,DaVinci Brsh
3f,185762,Magical Brsh
40,185780,Rainbow Brsh
41,18579e,Shuriken
42,1857bc,Ninja Star
43,1857da,Tack Star
44,1857f8,Flail
45,185816,Full Moon
46,185834,Morning Star
47,185852,Boomerang
48,185870,Rising Sun
49,18588e,Hawk Eye
4a,1858ac,Bone Club
4b,1858ca,Sniper
4c,1858e8,Wing Edge
4d,185906,Cards
4e,185924,Darts
4f,185942,Doom Darts
50,185960,Trump
51,18597e,Dice
52,18599c,Fixed Dice
53,1859ba,MetalKnuckle
54,1859d8,MithrilClaw
55,1859f6,Kaiser
56,185a14,Poison Claw
57,185a32,Fire Knuckle
58,185a50,Dragon Claw
59,185a6e,Tiger Fangs
5a,185a8c,Buckler
